No REGISTRO,FECHA OTORGADO REGISTRO Y No RESOLUCION,FECHA MODIFICACION  Y Nª RESOLUCION,NOMBRE DEL PRODUCTO,NOMBRE EMPRESA,INGREDIENTE ACTIVO,CONCENTRACION,CAT TOXIC,CLASE DE PRODUCTO,TIPO FOR.,PAIS DE ORIGEN DEL PRODUCTO FORMULADO,CULTIVO,Name
2386,25-01-2019/ 782,16-04-2020/ 065436,STAM M-4 EC,RICECO INTERNATIONAL COLOMBIA S.A.S,PROPAMNIL,480 g/L,III,HERBICIDA,EC,INDIA COLOMBIA ESTADOS UNIDOS VIETNAM,ARROZ,Table_66
2387,07/02/2019/ 1141,,STAM 80 DG,RICECO INTERNATIONAL COLOMBIA S.A.S,PROPANIL,80 g/Kg,III,HERBICIDA,WG,INDIA GUATEMALA,ARROZ,Table_66
2388,13-03-2019/ 2378,11-06-2019/ 7853,WHAMDF 80,RICECO INTERNATIONAL COLOMBIA S.A.S,PROPANIL,800 g/Kg,III,HERBICIDA,WG,INDIA GUATEMALA,ARROZ,Table_66
2390,22-02-2019/ 1694,11-04-2019/ 4710,AMETROL 80 WG,AGROQUIMICOS SEMILLAS Y EQUIPOS DE RIEGO AGROSER S.A,AMETRINA,800 g/Kg,III,HERBICIDA,WG,CHINA COLOMBIA,"CAFÉ, CAÑA DE AZUCAR, PIÑA",Table_66
2391,22-02-2019/ 1695,,ELOSAL 720 SC,BAYER S.A,ELOSAL 720 SC,720 g/L,III,FUNGICIDA,SC,GUATEMALA COLOMBIA,"ROSA,  ARVEJA,  FRESA",Table_66
2392,22-02-2019/ 1696,11-06-2019/ 7858,ANTRACOL WP 70,BAYER SA,PROPINEB,700 g/Kg,III,FUNGICIDA,WP,GUATEMALA COLOMBIA,"ARROZ, CABOLLA, CLAVEL,, CITRICOS, MELON,, SANDIA, PAPA, TOMATE,
TOMATE DE ARBOL,  LULO,  PIMENTON, UCHUVA",Table_66
2393,13-03-2019/ 2684,,ALSYSTIN SC 480,BAYER S.A,TRIFLUMURON,480 g/L,III,INSECTICIDA,SC,COLOMBIA,"PAPA, SOYA, ALGODÓN",Table_66
2394,29-03-2019/ 3678,26-02-2020/ 62667,BASAGRAN SL,BASF QUIMICA COLOMBIANA S.A,BENTAZON,480 g/L,II,HERBICIDA,SL,ALEMANIA  BRASIL,"ARROZ,, MAIZ",Table_66
2395,13-03-2019/ 2680,,AURA 20 EC,BASF QUIMICA COLOMBIANA S.A,PROFOXYDIM,200 g/L,III,HERBICIDA,EC,ALEMANIA,ARROZ,Table_67
2396,25-03-2019/3363,"26-08-2020/ 074259
03-09-2020/ 074737",PIRESTAR® 38 EC,FMC COLOMBIA S.A.S,PERMETRINA,380 g/L,II,INSECTICIDA,SC,ESTADOS UNIDOS,PAPA,Table_67
2397,29-03-2019/3686,,CIROMEX 75 WP,QUIMICOS OMA S.A,CYROMAZINA,750 g/Kg,III,INSECTICIDA,WP,COLOMBIA CHINA,CRISANTEMO,Table_67
2398,25-03-2019/ 3362,11-03-2020/ 63465,ROVRAL FLO®,FMC LATINOAMERICA S.A.S,IPRODIONE,500 g/L,III,FUNGICIDA,EC,COLOMBIA,ROSA,Table_67
2399,05-03-2019/ 2176,10-04-2019/ 4560,GHALOVIX 250 SC,FARMEX S.A.S,FLUTRIAFOL,250 g/L,III,FUNGICIDA,SC,CHINA PERU,"ROSA, ARROZ",Table_67
2400,29-03-2019/ 3687,,CATOMBE 1.8 EC,QUIMICOS OMA S.A,ABAMECTINA,18 g/L,II,ACARICIDA,EC,COLOMBIA,ROSA,Table_67
2401,26-05-2019/ 7026,,MITAC 20 EC,ARYSTA LIFESCIENCES COLOMBIA S.A.S,AMITRAZ,200 g/L,II,ACARICIDA,EC,COLOMBIA,"ROSA, NARANJA",Table_67
2402,29-03-2019/ 3682,,GLIFOSATO ARAMA 480 SL,DISTRIBUCIONES ARAMA LTDA,GLIFOSATO,480 g/L,III,HERBICIDA,SL,CHINA,POTREROS,Table_67
2403,29-03-2019/ 3681,,CURZATE M-8,DUPONT DE COLOMBIA S.A,MANCOZEB: CYMOXANIL:,"640 g/Kg
80 G/Kg",III,FUNGICIDA,WG,COLOMBIA,"PAPA, TOMATE,  CEBOLLA, VID",Table_67
2404,19-02-2019/ 1541,,SUMITHION 50 EC,ELECTROFUMIGACION TORO Y CIA LTDA,FENITROTHION,500 g/L,II,INSECTICIDA,EC,COLOMBIA,CAFÉ,Table_67
2405,25-03-2019/ 3396,,COSMOPOL DUO SC,HANSEANDINA LTDA,AZOXYSTROBIN FLUTRIAFOL,"200 g/L
125 g/L",III,FUNGICIDA,SC,CHINA,"SOYA,  ARROZ,  ROSA, TOMATE,  UCHUVA,
LULO,, TOMATE DE ARBOL, AJI,  CAFÉ,  MAIZ, AGUACATE,
NARANJA,  LIMON, MANDARINA,  LIMA,, TANGELO,  TORONJA.",Table_67
2406,29/03/2019/3680,,PROPIE 25 EC,COMERCIALIZADORA AGRICOLA AGROASTRACHEM CIA LTDA,PROPICONAZOL,250 g/L,II,FUNGICIDA,EC,INDIA,ARROZ,Table_68
2407,09-04-2019/ 4385,11-06-2019/ 7842,GAUCHO®FS 600,BAYER S.A,IMIDACLOPRID,600 g/L,II,INSECTICIDA,FS,COLOMBIA GUATEMALA FRANCIA ALEMANIA,ARROZ,Table_68
2408,25/03/2019/3397,,ABRIL 50 SC,PROQUIMUR S.A.S,IPRODIONE,500 g/L,III,FUNGICIDA,SC,URUGUAY,PAPA CRIOLLA,Table_68
2409,29-03-2019/ 3684,15-05-2020/ 067879,RAUDAL 500 WG,AGROQUIMICOS SEMILLAS Y EQUIPOS DE RIEGO S.A AGROSER S.A,DIFLUFENICAN,500 g/Kg,III,HERBICIDA,WG,CHINA,ARROZ,Table_68
2410,13-03-2019/ 2688,11-06-2019/ 7855,LARVIN SC 375,BAYER S.A,THIODICARB,375 g/L,II,INSECTICIDA,SC,GUATEMALA COLOMBIA ALEMANIA BRASIL ARGENTINA,"ALGODÓN, PAPA",Table_68
2411,29-03-2019/ 3691,"27-07-2019/ 10999
16-04-2020/ 065462",STOPWEST 48 SL,CIBOCHEM S.A.S,GLIFOSATO,480 g/L,III,HERBICIDA,SL,CHINA INDIA,POTREROS,Table_68
2412,29-03-2019/ 3689,21-04-2020/ 066036,TRIASOL 80 WP,CIBOCHEM S.A.S,ATRAZINA,800 g/Kg,II,HERBICIDA,WP,CHINA,MAIZ,Table_68
2413,29-03-2019/ 3688,04-05-2020/ 066719,BENOAGRO 50 WP,CIBOCHEM S.A.S,BENOMYL,500 g/Kg,III,FUNGICIDA,WP,CHINA,ARROZ,Table_68
2414,25-03-2019/ 3379,,GLYFOSAN SL,AGROQUIMICOS SEMILLAS Y EQUIPOS DE RIEGO AGROSER S.A,GLIFOSATO,480 g/L,III,HERBICIDA,SL,VENEZUELA,"CAFÉ,  PALMA DE ACEITE, ARROZ, POTREROS",Table_68
2415,09-04-2019/ 4393,,ALIETTE 80 WP,BAYER S.A,FOSETYL ALUMINIUM,800 g/Kg,III,FUNGICIDA,WP,GUATEMALA COLOMBIA BRASIL ESPAÑA,PIÑA,Table_68
2416,20-03-2019/ 3149,,ELIMINA 720 SL,RAINBOW AGROSCIENCES S.A.S,"2,4-D",720 g/L,II,HERBICIDA,SL,CHINA,PASTOS,Table_69
2417,20-03-2019/ 3147,,IGUAL 500 SC,RAINBOW AGROSCIENCES S.A.S,ATRAZINA,500 g/L,III,HERBICIDA,SC,CHINA,MAIZ,Table_69
2418,09-04-2019/ 4417,"25-11-2019/ 18880 21-08-
2020/ 073927",HOSTIL 18 EC,AGROCENTRO COLOMBIA S.A.S,ABAMECTINA,18 g/L,II,ACARICIDA,EC,CHINA,"ROSA, TOMATE,  NARANJA, LIMON,  LIMA ACIDA TAHITI MANDARINA,
TANGELO, AGUACATE",Table_69
2419,13-03-2019/ 2682,25-06-2020/ 070540,ALTIMA 500 SC,ISHIHARA COLOMBIA LTDA,FLUAZINAM,500 g/L,II,FUNGICIDA,SC,ESTADOS UNIDOS,"FRIJOL,  PAPA,  ROSA",Table_69
2420,09-04-2019/ 4415,"10-12-2019/ 19954
21-08-2020/ 073921",CRATERIS 300 SC,AGROCENTRO COLOMBIA S.A.S,TRIFLOXYSTROBIN TEBUCONAZOLE,"100 g/L
200 g/L",III,FUNGICIDA,SC,CHINA,"TOMATE,  ARROZ, UCHUVA,
TOMATE DE ARBOL",Table_69
2421,09-04-2019/ 4404,11-06-2019/ 7841,PROPERTY®300 SC,ISHIHARA COLOMBIA LTDA,PYRIOFENONE,300 g/L,II,FUNGICIDA,SC,"JAPON FRANCIA ESTADOS
UNIDOS",ROSA,Table_69
2422,25-03-2019/ 3381,,BENCLORAC 360 WP-DVA,DVA DE COLOMBIA LTDA,BENSULFURON METIL QUINCLORAC,"20 g/Kg
340 g/Kg",III,HERBICIDA,WP,CHINA,ARROZ,Table_69
2423,13-03-2019/ 2687,,MILDEX WG,BAYER S.A,FOSETYL ALUMINIO  FENAMIDONE,"667 g/Kg
44.4 g/Kg",III,FUNGICIDA,WG,FRANCIA,ROSA,Table_69
2424,09-05-2019/ 6155,,SCALA 40 SC,BAYER SA,PIRYMETHANIL,400 g/L,III,FUNGICIDA,SC,GUATEMALA COLOMBIA ALEMANIA BRASIL ARGENTINA,ROSA,Table_69
2425,13-03-2019/ 2681,26-02-2020/ 62669,TRUSINATE® 80 SG,"RAINBOW AGROSCIENCES S.A.S.,",GLUFOSINATO DE AMONIO,800 g/Kg,III,HERBICIDA,SG,CHINA,"MAIZ, BANANO",Table_69
2426,09-04-2019/ 4390,,CALLISTO ® GT,SYNGENTA S.A.,"MESOTRIONE GLIFOSATO
327 de 365","44.81 g/L
448.12 g/L",III,HERBICIDA,SC,ESTADOS UNIDOS,MAIZ,Table_69
2427,09-04-2019/ 4386,,DIFLUFENICAN 500 WG-DVA,DVA DE COLOMBIA LTDA,DIFLUFENICAN.,50% ww,III,HERBICIDA,WG,CHINA,ARROZ,Table_69
2428,25-03-2019/ 3385,,RUGIDO ®20 SL,INVESA S.A,KASUGAMICINA CLORHIDRATADO,20 g/L,III,FUNGICIDA,SL,COLOMBIA,"ARROZ, CEBOLLA BULBO",Table_69
2430,02-05-2019/ 5851,25-11-2019/ 18882,RIBBON 250 SG,ROTAM AGRO COLOMBIA S.A.S,RIMSULFURON,250 g/Kg,III,HERBICIDA,SG,"CHINA ESTADOS UNIDOS
TAIWAN",PAPA,Table_69
2431,10-04-2019/ 4580,,PROCLORAZELL 45 EC,ZELL CHEMIE COLOMBIA LIMITADA,PROCHLORAZ,450 g/L,III,FUNGICIDA,EC,ESPAÑA CHINA,ROSA,Table_69
2432,25-03-2019/ 3394,,PICLORAM AGROCONSULTORIAS 240 SL,"AGROCONSULTORIAS S.A.S.,",PICLORAM,240 g/L,III,HERBICIDA,SL,CHINA,POTREROS,Table_69
2433,21-04-2019/ 5069,,SICO 250 EC,SYNGENTA S.A,DIFENOCONAZOLE,250 g/L,II,FUNGICIDA,EC,COLOMBIA,"BANANO,  PLATANO",Table_69
2434,28-03-2019/ 3648,,HONGOMIL® 50 WP,LABORATORIOS CHALVER DE COLOMBIA S.A,BENOMYL,500 g/Kg,III,FUNGICIDA,WP,COLOMBIA,"ARROZ,  FRIJOL",Table_69
2435,11-04-2019/ 4693,,CIPERMETRINA 200 EC-DVA,DVA DE COLOMBIA LTDA,CIPERMETRINA,20.00% w/w,III,INSECTICIDA,EC,INDIA,PASTO KIKUYO,Table_69
2436,11-04-2019/ 4691,"25-11-2019/ 18830
05-02-2020/ 61389",COLISION® 250 SC,INVESA S.A,FLUTRIAFOL,250 g/L,III,FUNGICIDA,SC,COLOMBIA,"BANANO,  PLATANO,  CAFÉ AGUACATE",Table_69
2437,21-04-2019/ 5066,,EPODAZIM 250 SC,DVA DE COLOMBIA LTDA,"EPOXICONAZOLE CARBENDAZIM
328 de 365","125 g/L
125 g/L",III,FUNGICIDA,SC,CHINA,ARROZ,Table_69
2438,21-04-2019/ 5063,,SPITZ 480 SL,FARMEX S.A.S,BENTAZONE,480 g/L,III,HERBICIDA,SL,CHINA PERU,ARROZ,Table_69
2439,05-05-2019/ 5894,12-02-2020/ 61929,DESTIERRO ® 280 SL,INVESA SA,GLUFOSINATO DE AMONIO,280 g/L,II,HERBICIDA,SL,COLOMBIA,"PLATANO, BANANO, CAFÉ, PALMA DE ACEITE, AGUACATE, CITRICOS, LIMA, NARANJA, MANDARINA, TANGELO, TORONJA, LIMON",Table_69
2440,05-05-2019/ 5890,,BONUS®250 DC,SYNGENTA S.A,TRINEXAPACETHYL,250 g/L,III,REGULADOR FISIOLOGICO,DC,SUIZA,CAÑA DE AZUCAR,Table_69
2441,26-02-2020/ 62699,,DOMINEX 10 EC,FMC LATINOAMERICA S.A,ALFACIPERMETRINA,100 g/L,IB,INSECTICIDA,EC,ESTADOS UNIDOS,PAPA,Table_69
2442,20-05-2019/ 6729,21-08-2020/ 073924,FIADOR 350 SC,AGROCENTRO COLOMBIA S.A.S,IMIDACLOPRID,1.19 g/ml,II,INSECTICIDA,SC,CHINA,"POTREROS, TOMATE, ROSA,  ARROZ",Table_69
2443,05-05-2019/ 5899,20-07-2019/ 10272,SOLDIER 38 WG,FARMEX S.A.S,BOSCALID PYRACLOSTROBIN,"252 g/Kg
128 g/Kg",II,FUNGICIDA,WG,CHINA PERU,"ROSA, TOMATE,  FRESA",Table_69
2444,08-05-2019/ 6054,17-01-2020/ 60437,BASAMID GR,MITSUI  CO COLOMBIA LTDA,DAZOMET,999 g/Kg,II,FUNGICIDA,GR,CHINA ALEMANIA,"ORNAMENTALES, HORTALIZAS, BANANO",Table_69
2445,26-05-2019/ 7031,,TILT 250 EC,SYNGENTA S.A,PROPICONAZOLE,250 g/L,III,FUNGICIDA,EC,COLOMBIA,"ARROZ,  BANANO, PLATANO,  MAIZ",Table_69
2446,20-05-201976767,16-04-2020/ 065447,BOSS 500 EC,FMC COLOMBIA S.A.S,PROPANIL,480 g/L,II,HERBICIDA,EC,CHINA,ARROZ,Table_69
2447,20-05-2019/ 6764,11-03-2020/ 63163,CALIDAN SC,FMC LATINOAMERICA S.A.S,IPRODIONE CARBENDAZIM,"175 g/L
87.5 g/L",III,FUNGICIDA,SC,COLOMBIA,ROSA,Table_69
2448,20-05-219/ 6768,26-08-2020/ 074257,AFFINITY 400 EC,FMC COLOMBIA S.A.S,CARFENTRAZONE ETHYL,400 g/L,III,HERBICIDA,EC,BRASIL,ARROZ,Table_69
2449,28/06/2019/ 8783,,FAENA 480 SL,ADAMA ANDINA B.V – SUCURSAL COLOMBIA,GLIFOSATO,480 g/L,II,HERBICIDA,SL,CHINA COLOMBIA,"CAÑA DE AZUCAR,  ARROZ, CAFÉ,  PALMA DE ACEITE, EUCALIPTO,  PINO, POTREROS",Table_70
2450,24-06-2019/ 8520,,VITAVAX 400,ADAMA ANDINA B.V – SUCURSAL COLOMBIA,CARBOXIN THIRAM,"200 g/Kg
200 g/Kg",III,FUNGICIDA,WP,COLOMBIA,ARROZ,Table_70
2451,20-05-2019/ 6751,25-11-2019/ 18856,FINALE SL,BASF QUIMICA COLOMBIANA SA,GLUFOSINATO DE AMONIO,150 g/L,II,HERBICIDA,SL,GUATEMALA ALEMANIA COLOMBIA,"ALGODÓN, BANANO, CAFÉ,  NARANJA,
MAIZ,  PALMA DE ACEITE, PLATANO, TABACO",Table_70
2452,20-05-2019/ 6754,05-02-2020/ 61390,RONSTAR 25 EC,BAYER S.A,OXADIAZON,250 g/L,II,HERBICIDA,EC,COLOMBIA,ARROZ,Table_70
2453,26-05-2019/ 7033,,SUPERNOX,CEDAR CRYSTAL CHEMICAL S.A,PROPANIL,480 g/L,II,HERBICIDA,EC,ECUADOR,ARROZ,Table_70
2454,26-05-2019/ 7010,,PLUG WG,HANSEANDINA LTDA,FLUDIOXONIL CYPRODINIL,"250 g/Kg
375 g/Kg",III,FUNGICIDA,WG,CHINA,"FRESA,  ARANDANO ALTO, ARANDANO OJO DE CONEJO,
ARANDANO, FRANBUESA, MORA,  BREVO,  UVA,  ROSA",Table_70
2455,24-06-219/ 8513,"29-08-2019/ 13277
19-08-2019/ 12676",GLIFONOX,CEDAR CRYSTAL CHEMICAL S.A,GLIFOSATO,480 g/L,III,HERBICIDA,SL,ECUADOR,ARROZ,Table_70
2456,26-05-2019/ 7022,,GALOPE EC,INVESA S.A,"2,4-D",400 g/L,II,HERBICIDA,EC,COLOMBIA,"CAÑA DE AZUCAR,  MAIZ, POTREROS,  ARROZ",Table_70
2457,28-06-2019/ 8830,11-03-2020/ 63457,INSPIRE GOLD,SYNGENTA S.A,DIFENOCONAZOLE CYPRODINIL,"87.2 g/L
251.1 g/L",III,FUNGICIDA,EW,USA,"CEBOLLA,  PIMENTON, ARVEJA, TOMATE",Table_70
2458,26-05-2019/ 7024,04-05-2020/ 066711,MAIZCUATTRO,SYNGENTA S.A,"FLUDIOXOLIN METALAXIL
M TIABENDAZOL  AZOXISTROBIN
330 de 365",37.5 g/L 30 g/L 300 g/L 15 g/L,III,FUNGICIDA,SC,"ESPAÑA, ESTADOS UNIDOS",MAIZ,Table_70
2459,26-05-2019/ 7029,03-09-2020/ 074747,MAGESTIC 75 SP,"ARYSTA LIFESCIENCES COLOMBIA S.A.S.,",ACEFATO,750 g/Kg,III,INSECTICIDA,SP,ESTADOS UNIDOS CHINA  INDIA,"PAPA,  ROSA, TOMATE",Table_70
2460,26-05-2019/ 7027,,GLIFOCAFE®,"ARYSTA LIFESCIENCES COLOMBIA S.A.S.,",GLIFOSATO,480 g/L,II,HERBICIDA,SL,COLOMBIA CHINA,CAFÉ,Table_70
2461,26-05-2019/ 7030,07-04-2020/ 065156,GLIFOSOL SL,"ARYSTA LIFESCIENCES COLOMBIA S.A.S.,",GLIFOSATO,480 g/L,II,HERBICIDA,SL,COLOMBIA CHINA,"BANANO - CAFÉ - POTREROS - AGUACATE - ARROZ - CAÑA DE AZÚCAR -
PALMA DE ACEITE",Table_70
2462,01-10-2019/ 15532,,PANZER 480 SL,INVESA S.A,GLISOFATO,480 g/L,III,HERBICIDA,SL,COLOMBIA,"CAFÉ,, POTREROS, ,BANANO, PLATANO",Table_70
2463,30-05-2019/ 7290,,MANZATE 200 WG,UNIPHOS COLOMBIA PLANT LIMITED,MANCOZEB,750 g/kg,III,FUNGICIDA,WG,COLOMBIA,"ARROZ,  BANANO,  FRESA, MAÍZ,  MANGO,  MELÓN, PAPA,  ROSA,  TOMATE",Table_70
2464,30-05-2019/ 7285,,MANZATE SC,UNIPHOS COLOMBIA PLANT LIMITED,MANCOZEB,430 g/L,III,FUNGICIDA,SC,COSTA RICA,"BANANO, ROSA",Table_70
2465,30-05-2019/ 7286,,MANZATE 200 WP,UNIPHOS COLOMBIA PLANT LIMITED,MANCOZEB,800 g/kg,III,FUNGICIDA,WP,COLOMBIA,"ARROZ,
CEBOLLA BULBO,  CEBOLLA LARGA, CEBOLLA PUERRO, CEBOLLIN,,  MAIZ,, AVENA,
TRIGO,  SORGO,  MANGO, AGUACATE,  MELÓN, PEPINO PAPA, TOMATE,  UCHUVA, LULO, ,TOMATE DE ARBOL.",Table_70
2466,01-08-2019/ 11503,,BABOSTOP MATABABOSA,SUPERABONO S.A.S,METALDEHIDO,70 g/Kg,III,MOLUSQUICIDA,SB,COLOMBIA,ACELGA,Table_70
2467,30-05-2019/ 7279,,AMETRINA PROFICOL 500 SC,ADAMA ANDINA B-V SUCURSAL COLOMBIA,AMETRINA,500 g/L,III,HERBICIDA,SC,COLOMBIA CHINA ISRAEL,"PIÑA, CAÑA DE AZUCAR",Table_70
2468,02-10-2019/ 15627,,NISSHIN 4 SC,ISHIHARA COLOMBIA LTDA,NICOSULFURON,40 g/L,II,HERBICIDA,SC,BRASIL FRANCIA,MAIZ,Table_70
2470,17-06-2019/ 8066,,AMIGAN 500 SC,ADAMA ANDINA B.V – SUCURSAL COLOMBIA,AMETRINA TERBUTRINA,"308 g/L
192 g/L",II,HERBICIDA,SC,COLOMBIA,CAÑA DE AZUCAR,Table_71
2471,17-06-2019/ 8070,11-03-2020/ 63464,OCTAVE 50 WP,FMC LATINOAMERICA S.A.S,PROCHLORAZ,500 g Kg,III,FUNGICIDA,WP,INDONESIA,ARROZ,Table_71
2472,11-06-2019/ 7838,,DIMILIN 48 SC,"ARYSTA LIFESCIENCES COLOMBIA S.A.S.,",DIFLUBENZURON,480 g/L,III,INSECTICIDA,SC,COLOMBIA BELGICA,ARROZ,Table_71
2473,17-06-2019/ 8077,26-08-2020/ 074258,CAÑERO 500 SC,FMC COLOMBIA S.A.S,AMETRINA,500 g/L,II,HERBICIDA,SC,CHINA,CAÑA DE AZUCAR,Table_71
2474,11-06-2019/ 7738,26-08-2020/ 074259,COMMAND 480 EC,FMC COLOMBIA S.A.S,CLOMAZONE,480 g/L,II,HERBICIDA,EC,ESTADOS UNIDOS,ARROZ,Table_71
2475,17-06-2019/ 8063,,LAMBDA-ARISTI 50 EC,AGRO-ARISTI SAS,LAMBDA-CYHALOTHRIN,0.055,II,INSECTICIDA,EC,INDIA,TOMATE,Table_71
2476,24-06-2019/ 8487,,EMERALD PRO SE,ISAGRO COLOMBIA S.A.S,TETRACONAZOLE CARBENDAZIM,"125 g/L
150g/L",II,FUNGICIDA,SE,ITALIA,"ARROZ,  CAFÉ,  MAIZ",Table_71
2477,17-06-2019/ 8073,08-09-2020/ 075066,FENTOPEN 500 EC,"ISAGRO COLOMBIA S.A.S.,",FENTOATO,500 g/L,II,INSECTICIDA,EC,COLOMBIA INDIA,"CAFÉ,  MAIZ, PAPA",Table_71
2479,17-06-2019/ 8085,,VONDOZEB 80 WP,ISAGRO COLOMBIA S.A.S,MANCOZEB,800 g/Kg,III,FUNGICIDA,WP,INDIA,"PAPA, TOMATE",Table_71
2480,17-06-2019/ 8082,,STAM M4 GOLD,RICECO INTERNATIONAL COLOMBIA SAS,PROPANIL,61.22% w/w,III,HERBICIDA,WG,INDIA GUATEMALA,ARROZ,Table_71
2481,17-06-2019/ 8091,,K-OBIOL 25 EC,BAYER S.A,DELTAMETRINA PIPERONYL BUTOXIDO,"25 g/L
225 g/L",II,INSECTICIDA,EC,GUATEMALA COLOMBIA BRASIL,GRANOS ALMACENADOS DE MAIZ ARROZ Y SORGO,Table_71
2482,27-06-2019/ 8705,11-05-2020/  067483,ZORVEC® ENCANTIA®,DUPONT DE COLOMBIA SA,FAMOXADONE OXATHIAPIPROLIN,"300 g/L
300 g/L",III,FUNGICIDA,SE,BRASIL FRANCIA ARGENTINA SINGAPUR USA,"PAPA, TOMATE, LULO, UVA, ARVEJA, MELON, PIMIENTO, CEBOLLA",Table_72
2483,24-06-2019/ 8497,12-02-2020/ 61944,DESTIERRO ® 200 SL,INVESA S.A,GLUFOSINATO DE AMONIO,200 g/L,II,HERBICIDA,SL,COLOMBIA,"PLATANO, BANANO, CAFÉ, PALMA DE ACEITE, AGUACATE, CITRICOS, LIMA, NARANJA, MANDARINA, TANGELO, LIMON",Table_72
2485,24-06-2019/ 8514,,INITHION 50 EC,"AGROQUIMICOS SEMILLAS Y EQUIPOS DE RIEGO S.A. - AGROSER
S.A.",MALATHION,500 g/L,III,INSECTICIDA,CE,COLOMBIA,TOMATE,Table_72
2486,17-06-2019/ 8068,15-07-2020/ 071639,MIDWAY 250 SC,FARMEX S.A.S,EPOXICONAZOLE CARBENDAZIM,"125 g/L
125 g/L",III,FUNGICIDA,SC,CHINA PERU,ARROZ,Table_72
2487,24-06-2019/ 8512,01-04-2020/ 064815,PICLORAM DICSAS 240 SL,DISTRIBUCIONES ARAMA LTDA,PICLORAM,240 g/L,III,HERBICIDA,SL,CHINA,POTREROS,Table_72
2488,24-06-2019/ 8524,,"2,4-D AMINA ARAMA 720 SL",DISTRIBUCIONES ARAMA LTDA.,"2,4-D",720 g/L,III,HERBICIDA,SL,CHINA,POTREROS,Table_72
2489,28-06-2019/ 8800,15-07-2020/  071637,IBROF 50 WG,FARMEX SAS,BOSCALID,50% w/w,III,FUNGICIDA,WG,CHINA PERU,"BANANO,  TOMATE,  ROSA",Table_72
2490,27-06-2019/ 8712,,RICESHOT 48 EC,"RICECO INTERNATIONAL COLOMBIA
S.A.S.",PROPANIL,480 g/L,III,HERBICIDA,EC,"INDIA VIETNAM
COLOMBIA ESTADOS UNIDOS",ARROZ,Table_72
2491,24-06-2019/ 8525,,MANCOZEB NUFARM 800 WP,"NUFARM COLOMBIA S.A.,",MANCOZEB,800 g/Kg,III,FUNGICIDA,WP,INDIA,PAPA,Table_73
2492,24-06-2019/ 8523,,HYPERKILL 25 EC,"AGROQUIMICOS SEMILLAS Y EQUIPOS DE RIEGO S.A. - AGROSER
S.A",CIPERMETRINA,250 g/L,II,INSECTICIDA,EC,COLOMBIA INDIA,"ARROZ,  CAFÉ,  MAIZ",Table_73
2493,27-06-2019/ 8718,11-03-2020/ 63466,SPORTAK 45 EC,FMC LATINOAMERICA S.A.S,PROCHLORAZ,450g/L,II,FUNGICIDA,EC,COLOMBIA,"ROSA,  PIÑA",Table_73
2495,27-06-2019/ 8721,,AMEZOL COMBINACIÓN 80 WG,"AGROQUIMICOS SEMILLAS Y EQUIPOS
DE RIEGO S.A. - AGROSER S.A",ATRAZINA AMETRINA,"400 g/Kg
400 g/Kg",II,HERBICIDA,WG,CHINA,CAÑA DE ZUCAR,Table_73
2496,17-06-2019/ 8055,05-02-2020/ 61405,CRUSHER EC,"AGROQUIMICOS, SEMILLAS Y EQUIPOS DE RIEGO – AGROSER S.A.",BUTACHLOR,600 g/L,III,HERBICIDA,EC,CHINA,ARROZ,Table_73
2497,27-06-2019/ 8731,,BATAZO 80 WG,"AGROQUIMICOS SEMILLAS Y EQUIPOS DE RIEGO S.A. - AGROSER
S.A.,",DIURON,800 g/kg,III,HERBICIDA,WG,CHINA COLOMBIA,"CAÑA DE AZUCAR, MAÍZ,  PLÁTANO",Table_73
2498,28-06-2019/ 8784,,CONVEY SC,BASF QUÍMICA COLOMBIANA S.A.,TOPRAMEZONE,330 g/Ll,III,HERBICIDA,SC,ALEMANIA,MAIZ,Table_73
2499,02-10-2019/ 15630,,DOMARK 40 EW,"ISAGRO COLOMBIA S.A.S.,",TETRACONAZOLE,40 g/L,II,FUNGICIDA,EW,ITALIA,ROSA,Table_74
2500,28-06-2019/ 8831,"SE DECLARA PERDIDA DE FUERZA EJECUTORIA 22-
01-2020/ 60638",PARAQUAT RAINBOW 200 SL,RAINBOW AGROSCIENCES S.A.S.,PARAQUAT,200 g/L,IB,HERBICIDA,SL,CHINA,PAPA,Table_74
2501,28-06-2019/ 8832,"02-04-2020/ 064984
22-07-2020/ 071908",VELPAR K-4,CLABE REPRESENTACIONES COLOMBIANAS LTDA- CLABEREP LTDA,HEXAZINONA DIURON,"132 g/Kg
468 g/Kg",III,HERBICIDA,WG,ESTADOS UNIDOS CHINA,"CAÑA DE AZUCAR, PIÑA",Table_74
2502,15-07-2019/ 9822,13-08-2020/ 073298,IMPLACABLE 100 ME,LATIN WEST S.A.S,HEXACONAZOLE PYRACLOSTROBIN,"50 g/L
50 g/L",III,FUNGICIDA,ME,CHINA INDIA,"CAFÉ,  ROSA,  ARROZ",Table_74
2503,09-07-2019/ 9325,,SAAT SAMBA AZ 500 SC,SAAT ANDINA S.A,AZOXYSTROBIN FLUTRIAFOL,"250.3 g/L
250.5 g/L",II,FUNGICIDA,SC,CHINA,"TOMATE, ARROZ",Table_74
2504,15-07-2019/ 9832,,FOSELAC 80 WP,AGROLAC ANDINA S.A.S.,FOSETYL ALUMINIO,833 g/Kg,II,FUNGICIDA,WP,CHINA ESPAÑA TAIWAN,ROSA DE CORTE,Table_74
